bbl,st_num,st_name,sq_ft,score,grade
1012440090,98,RIVERSIDE DRIVE,198375,84,B
1012450003,100,RIVERSIDE DRIVE,168982,86,A
1012450019,465,WEST END AVENUE,100400,73,B
1012450025,300,WEST 83 STREET,99435,95,A
1012450034,320,WEST 83 STREET,38623,72,B
1012450037,324,WEST 83 STREET,27986,63,C
1012450040,328,WEST 83 STREET,30600,86,A
1012450047,110,RIVERSIDE DRIVE,396076,97,A
1012450075,495,WEST END AVENUE,83154,71,B
1012450080,316,WEST 84 STREET,51450,93,A
1012450088,324,WEST 84 STREET,38016,40,D
1012460001,125,RIVERSIDE DRIVE,70328,100,A
1012460007,120,RIVERSIDE DRIVE,39910,100,A
1012460029,505,WEST END AVENUE,112000,71,B
1012460036,511,WEST END AVENUE,123411,86,A
1012460039,310,WEST 85 STREET,48184,78,B
1012460049,340,WEST 85 STREET,51520,55,C
1012460053,350,WEST 85 STREET,35094,43,D
1012460058,126,RIVERSIDE DRIVE,25288,13,D
1012467501,342,WEST 85 STREET,28436,96,A
1012470001,131,RIVERSIDE DRIVE,124208,99,A
1012470010,355,WEST 85 STREET,40937,57,C
1012470023,325,WEST 85 STREET,27592,score missing,F
1012470029,525,WEST END AVENUE,171655,88,A
1012470037,302,WEST 86 STREET,74817,83,B
1012470040,310,WEST 86 STREET,69094,78,B
1012470043,320,WEST 86 STREET,69148,78,B
1012470047,328,WEST 86 STREET,52194,73,B
1012470050,332,WEST 86 STREET,87573,89,A
1012470057,137,RIVERSIDE DRIVE,98373,99,A
1012477501,340,WEST 86 STREET,179844,65,C
1012477502,535,WEST END AVENUE,192701,71,B
1012480001,140,RIVERSIDE DRIVE,372186,71,B
1012480011,345,WEST 86 STREET,78071,65,C
1012480014,333,WEST 86 STREET,180405,13,D
1012480019,323,WEST 86 STREET,82655,96,A
1012480022,313,WEST 86 STREET,100137,82,B
1012480025,309,WEST 86 STREET,39843,8,D
1012480027,305,WEST 86 STREET,64968,43,D
1012480029,545,WEST END AVENUE,141426,84,B
1012480037,302,WEST 87 STREET,47067,75,B
1012480041,320,WEST 87 STREET,57516,73,B
1012480049,334,WEST 87 STREET,44876,44,D
1012480051,340,WEST 87 STREET,29303,66,C
1012490022,317,WEST 87 STREET,44256,56,C
1012490029,565,WEST END AVENUE,155906,score missing,F
1012490036,575,WEST END AVENUE,104942,68,C
1012490054,350,WEST 88 STREET,48327,score missing,F
1012490057,155,RIVERSIDE DRIVE,87129,64,C
1012500001,160,RIVERSIDE DRIVE,139009,80,B
1012500006,345,WEST 88 STREET,84026,26,D
1012500030,585,WEST END AVENUE,209113,79,B
1012500040,304,WEST 89 STREET,42707,77,B
1012500047,320,WEST 89 STREET,43260,71,B
1012500067,173,RIVERSIDE DRIVE,380920,67,C
1012500091,601,WEST END AVENUE,47354,77,B
1012500094,607,WEST END AVENUE,73987,71,B
1012500100,617,WEST END AVENUE,51925,69,C
1012500110,322,WEST 90 STREET,39192,57,C
1012507503,317,WEST 89 STREET,60480,81,B
1012507504,595,WEST END AVENUE,55190,26,D
1012510001,180,RIVERSIDE DRIVE,203436,81,B
1012510008,321,WEST 90 STREET,46800,62,C
1012510037,186,RIVERSIDE DRIVE,152016,93,A
1012510054,639,WEST END AVENUE,88396,66,C
1012510062,645,WEST END AVENUE,136062,88,A
1012510063,302,WEST 92 STREET,64598,59,C
1012510071,194,RIVERSIDE DRIVE,78725,86,A
1012517501,190,RIVERSIDE DRIVE,94142,28,D
1012520001,200,RIVERSIDE DRIVE,63794,73,B
1012520005,202,RIVERSIDE DRIVE,100986,27,D
1012520017,675,WEST END AVENUE,81066,score missing,F
1012520020,677,WEST END AVENUE,67953,70,B
1012520022,306,WEST 93 STREET,25794,98,A
1012520024,308,WEST 93 STREET,25890,2,D
1012520025,310,WEST 93 STREET,32490,98,A
1012520027,312,WEST 93 STREET,31690,76,B
1012520029,316,WEST 93 STREET,31614,50,D
1012520034,210,RIVERSIDE DRIVE,121313,89,A
1012520038,325,WEST 93 STREET,32928,40,D
1012520041,317,WEST 93 STREET,32067,100,A
1012520044,309,WEST 93 STREET,32067,2,D
1012520050,685,WEST END AVENUE,156303,90,A
1012520057,697,WEST END AVENUE,148873,78,B
1012520060,306,WEST 94 STREET,35480,29,D
1012520063,308,WEST 94 STREET,31760,29,D
1012520065,310,WEST 94 STREET,31760,69,C
1012520072,316,WEST 94 STREET,26928,67,C
1012520075,214,RIVERSIDE DRIVE,66754,88,A
1012527501,314,WEST 94 STREET,32750,60,C
1012530004,224,RIVERSIDE DRIVE,25270,91,A
1012530007,321,WEST 94 STREET,30960,45,D
1012530010,319,WEST 94 STREET,35427,19,D
1012530013,315,WEST 94 STREET,41110,18,D
1012530021,711,WEST END AVENUE,192000,98,A
1012530035,310,WEST 95 STREET,37674,score missing,F
1012530038,316,WEST 95 STREET,45150,76,B
1012530041,330,WEST 95 STREET,57600,23,D
1012530045,336,WEST 95 STREET,41000,81,B
1012530048,227,RIVERSIDE DRIVE,48178,13,D
1012530064,311,WEST 95 STREET,31360,score missing,F
1012537501,317,WEST 95 STREET,32905,33,D
1012537502,222,RIVERSIDE DRIVE,174000,62,C
1012537503,230,RIVERSIDE DRIVE,208241,30,D
1012580001,47,WEST 42 STREET,348786,84,B
1012580009,1114,AVENUE OF THE AMERICAS,1515117,74,B
1012580021,11,WEST 42 STREET,949976,44,D
1012580034,500,5 AVENUE,659122,44,D
1012580040,510,5 AVENUE,57223,8,D
1012580042,4,WEST 43 STREET,72568,83,B
1012590001,1120,AVENUE OF THE AMERICAS,615000,73,B
1012590011,47,WEST 43 STREET,103750,20,D
1012590019,23,WEST 43 STREET,287894,65,C
1012590025,15,WEST 43 STREET,63860,1,D
1012590047,12,WEST 44 STREET,46492,score missing,F
1012590048,20,WEST 44 STREET,70280,72,B
1012590054,30,WEST 44 STREET,59429,60,C
1012597501,36,WEST 44 STREET,147145,30,D
1012597502,522,5 AVENUE,431000,score missing,F
1012600001,1140,AVENUE OF THE AMERICAS,179513,54,D
1012600010,55,WEST 44 STREET,33478,2,D
1012600014,45,WEST 44 STREET,294000,12,D
1012600016,39,WEST 44 STREET,39651,25,D
1012600020,27,WEST 44 STREET,152820,score missing,F
1012600024,19,WEST 44 STREET,231948,63,C
1012600028,15,WEST 44 STREET,52851,28,D
1012600042,2,WEST 45 STREET,112936,33,D
1012600064,56,WEST 45 STREET,58538,46,D
1012600071,1156,AVENUE OF THE AMERICAS,69481,68,C
1012607502,66,WEST 45 STREET,170367,44,D
1012607503,530,5 AVENUE,480166,64,C
1012610015,49,WEST 45 STREET,59841,71,B
1012610019,35,WEST 45 STREET,55622,64,C
1012610021,25,WEST 45 STREET,187567,85,A
1012610027,17,WEST 45 STREET,38021,26,D
1012610029,15,WEST 45 STREET,44836,45,D
1012610030,7,WEST 45 STREET,64206,26,D
1012610034,546,5 AVENUE,180524,36,D
1012610036,550,5 AVENUE,55779,34,D
1012610048,16,WEST 46 STREET,45300,89,A
1012610054,30,WEST 46 STREET,126000,score missing,F
1012610057,38,WEST 46 STREET,57738,score missing,F
1012617501,1166,6 AVENUE,1529036,54,D
1012617502,10,WEST 46 STREET,80792,60,C
1012620001,1180,AVENUE OF THE AMERICAS,327766,score missing,F
1012620009,59,WEST 46 STREET,94126,17,D
1012620021,33,WEST 46 STREET,34553,29,D
1012620024,21,WEST 46 STREET,75008,56,C
1012620027,15,WEST 46 STREET,25857,score missing,F
1012620041,576,5 AVENUE,57352,50,D
1012620042,2,WEST 47 STREET,78230,100,A
1012620045,10,WEST 47 STREET,71738,100,A
1012620048,16,WEST 47 STREET,110553,66,C
1012620054,30,WEST 47 STREET,55138,70,B
1012620056,36,WEST 47 STREET,97785,23,D
1012627501,62,WEST 47 STREET,161835,79,B
1012627502,50,WEST 47 STREET,691519,76,B
1012630007,55,WEST 47 STREET,76380,57,C
1012630018,29,WEST 47 STREET,58996,44,D
1012630024,15,WEST 47 STREET,120790,70,B
1012630034,580,5 AVENUE,373005,80,B
1012630038,590,5 AVENUE,93123,56,C
1012630041,592,5 AVENUE,70135,74,B
1012630043,6,WEST 48 STREET,60500,75,B
1012630051,22,WEST 48 STREET,80604,47,D
1012630058,38,WEST 48 STREET,33151,49,D
1012630059,42,WEST 48 STREET,58201,32,D
1012630061,48,WEST 48 STREET,118134,51,D
1012630071,1212,AVENUE OF THE AMERICAS,248896,36,D
1012637501,16,WEST 48 STREET,155513,14,D
1012640045,10,WEST 49 STREET,44867,score missing,F
1012670001,1290,AVENUE OF THE AMERICAS,1899211,55,C
1012670022,15,WEST 51 STREET,582428,69,C
1012670028,7,WEST 51 STREET,48721,5,D
1012670030,3,WEST 51 STREET,43200,13,D
1012670041,650,5 AVENUE,336010,60,C
1012677501,25,WEST 51 STREET,103429,53,D
1012677502,11,WEST 51 STREET,64727,5,D
1012680001,51,WEST 52 STREET,817095,55,C
1012680021,25,WEST 52 STREET,75806,1,D
1012687501,40,WEST 53 STREET,730175,77,B
1012687502,666,5 AVENUE,1329229,37,D
1012687503,20,WEST 53 STREET,346700,15,D
1012690001,1330,AVENUE OF THE AMERICAS,500177,49,D
1012690030,678,5 AVENUE,30805,26,D
1012697501,15,WEST 53 STREET,503000,53,D
1012700001,1340,AVENUE OF THE AMERICAS,274656,11,D
1012700008,45,WEST 54 STREET,61584,95,A
1012700017,25,WEST 54 STREET,72845,74,B
1012700034,690,5 AVENUE,204122,71,B
1012700038,696,5 AVENUE,252405,7,D
1012700071,1350,AVENUE OF THE AMERICAS,517199,69,C
1012707501,40,WEST 55 STREET,47850,19,D
1012710007,57,WEST 55 STREET,112000,2,D
1012710012,51,WEST 55 STREET,38704,4,D
1012710017,39,WEST 55 STREET,40197,score missing,F
1012710019,33,WEST 55 STREET,49484,score missing,F
1012710021,27,WEST 55 STREET,37571,score missing,F
1012710023,23,WEST 55 STREET,54420,score missing,F
1012710027,15,WEST 55 STREET,56005,15,D
1012710030,708,5 AVENUE,42350,3,D
1012710038,712,5 AVENUE,543411,81,B
1012710071,1370,AVENUE OF THE AMERICAS,311501,47,D
1012717501,1360,6 AVENUE,180000,3,D
1012720001,60,WEST 57 STREET,303642,4,D
1012720020,24,WEST 57 STREET,88722,score missing,F
1012720026,13,WEST 56 STREET,54959,36,D
1012720034,720,5 AVENUE,113292,52,D
1012720047,10,WEST 57 STREET,81174,73,B
1012720056,28,WEST 57 STREET,34300,56,C
1012720063,38,WEST 57 STREET,712000,59,C
1012720066,48,WEST 57 STREET,73732,43,D
1012727501,33,WEST 56 STREET,110280,14,D
1012727502,724,5 AVENUE,62648,15,D
1012727503,730,5 AVENUE,346858,93,A
1012730001,1400,AVENUE OF THE AMERICAS,143914,45,D
1012730009,43,WEST 57 STREET,25200,100,A
1012730010,41,WEST 57 STREET,27847,score missing,F
1012730012,37,WEST 57 STREET,69649,62,C
1012730022,9,WEST 57 STREET,1698259,68,C
1012730031,3,WEST 57 STREET,58001,79,B
1012730033,742,5 AVENUE,211669,5,D
1012730044,4,WEST 58 STREET,61000,12,D
1012730060,42,WEST 58 STREET,122889,12,D
1012730071,1412,AVENUE OF THE AMERICAS,109908,17,D
1012737501,58,WEST 58 STREET,251073,8,D
1012740006,41,WEST 58 STREET,269346,15,D
1012740011,34,CENTRAL PARK SOUTH,442000,37,D
1012740016,21,WEST 58 STREET,59701,67,C
1012740057,24,CENTRAL PARK SOUTH,101278,83,B
1012747501,30,CENTRAL PARK SOUTH,56986,72,B
1012747502,57,WEST 58 STREET,96137,1,D
1012747503,50,CENTRAL PARK SOUTH,328679,36,D
1012747504,768,5 AVENUE,777983,1,D
1012750001,461,5 AVENUE,201387,70,B
1012750006,3,EAST 40 STREET,84500,30,D
1012750012,15,EAST 40 STREET,57653,70,B
1012750014,284,MADISON AVENUE,102079,61,C
1012750016,290,MADISON AVENUE,36681,19,D
1012750023,285,MADISON AVENUE,407127,45,D
1012750027,100,PARK AVENUE,778203,85,A
1012750044,50,EAST 41 STREET,62650,31,D
1012750050,295,MADISON AVENUE,301128,82,B
1012750059,292,MADISON AVENUE,170230,63,C
1012750061,18,EAST 41 STREET,92949,78,B
1012750069,473,5 AVENUE,220413,72,B
1012760001,479,5 AVENUE,190357,40,D
1012760004,487,5 AVENUE,163763,60,C
1012760023,299,MADISON AVENUE,32944,1,D
1012760033,118,PARK AVENUE,600000,61,C
1012760042,60,EAST 42 STREET,1150564,76,B
1012760051,50,EAST 42 STREET,138883,53,D
1012760058,300,MADISON AVENUE,1142417,75,B
1012760069,501,5 AVENUE,132961,55,C
1012770002,505,5 AVENUE,251043,35,D
1012770008,5,EAST 42 STREET,304525,90,A
1012770014,330,MADISON AVENUE,733001,75,B
1012770069,511,5 AVENUE,125632,23,D
1012777501,509,5 AVENUE,55474,67,C
1012780014,340,MADISON AVENUE,558735,75,B
1012780020,333,MADISON AVENUE,874744,89,A
1012780065,6,EAST 44 STREET,62918,26,D
1012780069,529,5 AVENUE,271266,79,B
1012790001,531,5 AVENUE,332312,66,C
1012790017,346,MADISON AVENUE,140280,52,D
1012790028,50,VANDERBILT AVENUE,174895,1,D
1012790045,52,VANDERBILT AVENUE,162330,84,B
1012790057,352,MADISON AVENUE,380776,63,C
1012790065,6,EAST 45 STREET,79290,14,D
1012790069,545,5 AVENUE,180349,32,D
1012797501,5,EAST 44 STREET,28884,19,D
1012807501,420,LEXINGTON AVENUE,1043906,77,B
1012810001,547,5 AVENUE,427158,45,D
1012810021,45,EAST 45 STREET,598248,34,D
1012810056,366,MADISON AVENUE,84518,64,C
1012810059,18,EAST 46 STREET,87016,48,D
1012810061,16,EAST 46 STREET,31512,score missing,F
1012810069,553,5 AVENUE,206378,61,C
1012817501,360,MADISON AVENUE,356057,75,B
1012820001,563,5 AVENUE,345048,36,D
1012820021,383,MADISON AVENUE,1174988,59,C
1012820034,250,PARK AVENUE,519783,64,C
1012827501,575,5 AVENUE,462417,79,B
1012830001,579,5 AVENUE,130715,68,C
1012830017,400,MADISON AVENUE,146191,94,A
1012830058,18,EAST 48 STREET,117629,63,C
1012830064,6,EAST 48 STREET,45001,4,D
1012830069,589,5 AVENUE,156319,30,D
1012830072,587,5 AVENUE,33922,24,D
1012840002,597,5 AVENUE,52727,33,D
1012840007,7,EAST 48 STREET,656428,78,B
1012840014,410,MADISON AVENUE,58395,1,D
1012840017,418,MADISON AVENUE,46167,21,D
1012840021,413,MADISON AVENUE,228064,84,B
1012840026,33,EAST 48 STREET,810426,40,D
1012840033,280,PARK AVENUE,386166,40,D
1012840056,424,MADISON AVENUE,62237,37,D
1012847501,609,5 AVENUE,151552,score missing,F
1012850015,444,MADISON AVENUE,401686,77,B
1012850021,437,MADISON AVENUE,836660,45,D
1012850036,300,PARK AVENUE,645483,72,B
1012850059,18,EAST 50 STREET,58342,12,D
1012857501,611,5 AVENUE,1042944,62,C
1012860021,455,MADISON AVENUE,832240,12,D
1012860035,320,PARK AVENUE,656436,75,B
1012860043,34,EAST 51 STREET,74455,37,D
1012870014,488,MADISON AVENUE,391114,66,C
1012870028,41,EAST 51 STREET,360000,78,B
1012870033,350,PARK AVENUE,536992,55,C
1012870052,485,MADISON AVENUE,244668,77,B
1012870058,16,EAST 52 STREET,90816,46,D
1012870069,649,5 AVENUE,41410,8,D
1012877501,641,5 AVENUE,914767,58,C
1012880001,655,5 AVENUE,52400,15,D
1012880007,10,EAST 53 STREET,366879,41,D
1012880011,500,MADISON AVENUE,230654,68,C
1012880021,503,MADISON AVENUE,164722,64,C
1012880024,49,EAST 52 STREET,41837,55,C
1012880027,57,EAST 52 STREET,1064223,91,A
1012880051,507,MADISON AVENUE,134039,score missing,F
1012880056,510,MADISON AVENUE,292663,56,C
1012880069,665,5 AVENUE,122596,16,D
1012890005,1,EAST 53 STREET,26842,57,C
1012890014,512,MADISON AVENUE,1015287,88,A
1012890021,515,MADISON AVENUE,331020,75,B
1012890028,43,EAST 53 STREET,112933,62,C
1012890036,390,PARK AVENUE,262945,22,D
1012890045,56,EAST 54 STREET,65452,18,D
1012890052,527,MADISON AVENUE,197948,55,C
1012900001,689,5 AVENUE,91210,23,D
1012900003,693,5 AVENUE,101319,35,D
1012900006,3,EAST 54 STREET,283465,87,A
1012900014,19,EAST 54 STREET,25971,67,C
1012900021,535,MADISON AVENUE,444293,59,C
1012900036,400,PARK AVENUE,214392,68,C
1012900037,410,PARK AVENUE,236665,71,B
1012900044,66,EAST 55 STREET,135000,69,C
1012900052,545,MADISON AVENUE,138240,59,C
1012907501,60,EAST 55 STREET,149493,1,D
1012907502,2,EAST 55 STREET,323504,4,D
1012910010,550,MADISON AVENUE,685125,89,A
1012910021,551,MADISON AVENUE,125495,72,B
1012910028,65,EAST 55 STREET,528552,52,D
1012910038,430,PARK AVENUE,233115,90,A
1012910045,60,EAST 56 STREET,57312,43,D
1012910051,555,MADISON AVENUE,369787,61,C
1012917501,717,5 AVENUE,451845,58,C
1012920008,9,EAST 56 STREET,26983,score missing,F
1012920015,590,MADISON AVENUE,999646,61,C
1012920037,450,PARK AVENUE,296915,78,B
1012920048,32,EAST 57 STREET,77511,89,A
1012920052,575,MADISON AVENUE,399613,70,B
1012920069,731,5 AVENUE,119867,1,D
1012927501,721,5 AVENUE,756693,51,D
1012927502,432,PARK AVENUE,791233,6,D
1012930001,737,5 AVENUE,91060,29,D
1012930005,3,EAST 57 STREET,42500,23,D
1012930007,5,EAST 57 STREET,48998,43,D
1012930008,7,EAST 57 STREET,32959,score missing,F
1012930012,15,EAST 57 STREET,63875,15,D
1012930014,19,EAST 57 STREET,99381,62,C
1012930016,592,MADISON AVENUE,76656,60,C
1012930026,597,MADISON AVENUE,322756,61,C
1012930035,460,PARK AVENUE,254185,60,C
1012930037,470,PARK AVENUE,111310,94,A
1012930059,600,MADISON AVENUE,315918,54,D
1012930069,745,5 AVENUE,459340,64,C
1012937501,53,EAST 57 STREET,532225,14,D
1012940001,761,5 AVENUE,1824820,39,D
1012940033,480,PARK AVENUE,375239,48,D
1012940037,500,PARK AVENUE,103178,33,D
1012940046,625,MADISON AVENUE,535344,68,C
1012947501,500,PARK AVENUE,245468,1,D
1012950001,101,PARK AVENUE,1088389,58,C
1012950023,355,LEXINGTON AVENUE,225000,80,B
1012950033,622,3 AVENUE,986431,45,D
1012950040,630,3 AVENUE,210777,74,B
1012950058,364,LEXINGTON AVENUE,246605,57,C
1012960001,125,PARK AVENUE,520416,67,C
1012960014,374,LEXINGTON AVENUE,862071,72,B
1012967501,110,EAST 42 STREET,304137,58,C
1012967502,150,EAST 42 STREET,1562144,89,A
1012970023,395,LEXINGTON AVENUE,1035307,68,C
1012970033,666,3 AVENUE,666376,70,B
1012980023,425,LEXINGTON AVENUE,627691,61,C
1012980041,150,EAST 44 STREET,352725,39,D
1012980045,144,EAST 44 STREET,45000,73,B
1012990022,437,LEXINGTON AVENUE,97075,61,C
1012990023,137,EAST 44 STREET,64614,score missing,F
1012990027,147,EAST 44 STREET,629323,69,C
1012990033,708,3 AVENUE,359326,77,B
1012990041,150,EAST 45 STREET,32540,43,D
1012990048,132,EAST 45 STREET,72000,38,D
1012997501,447,LEXINGTON AVENUE,126498,63,C
1013000001,230,PARK AVENUE,1212596,90,A
1013000033,730,3 AVENUE,665110,74,B
1013000050,140,EAST 46 STREET,131175,24,D
1013007501,237,PARK AVENUE,1005921,49,D
1013010001,245,PARK AVENUE,1586876,55,C
1013010023,485,LEXINGTON AVENUE,743789,76,B
1013010033,750,3 AVENUE,761384,81,B
1013020021,501,LEXINGTON AVENUE,92501,100,A
1013020030,147,EAST 47 STREET,43314,27,D
1013020033,760,3 AVENUE,297703,26,D
1013020043,144,EAST 48 STREET,114500,50,D
1013020051,509,LEXINGTON AVENUE,314568,20,D
1013027501,277,PARK AVENUE,1760893,60,C
1013030001,299,PARK AVENUE,1039281,58,C
1013030014,111,EAST 48 STREET,443607,57,C
1013030033,776,3 AVENUE,490020,71,B
1013030041,150,EAST 49 STREET,57000,76,B
1013030045,146,EAST 49 STREET,33800,100,A
1013030046,142,EAST 49 STREET,34900,96,A
1013030053,525,LEXINGTON AVENUE,406261,32,D
1013037501,145,EAST 48 STREET,210781,5,D
1013037502,517,LEXINGTON AVENUE,79756,40,D
1013040020,541,LEXINGTON AVENUE,317496,score missing,F
1013040026,145,EAST 49 STREET,37371,16,D
1013040029,155,EAST 49 STREET,43796,42,D
1013040033,800,3 AVENUE,526124,44,D
1013040041,150,EAST 50 STREET,119465,72,B
1013050001,321,PARK AVENUE,66705,9,D
1013050013,560,LEXINGTON AVENUE,345743,78,B
1013050020,557,LEXINGTON AVENUE,138614,54,D
1013050023,135,EAST 50 STREET,70836,10,D
1013050028,145,EAST 50 STREET,147970,34,D
1013050032,151,EAST 50 STREET,47938,30,D
1013050040,830,3 AVENUE,150638,51,D
1013050060,566,LEXINGTON AVENUE,458300,43,D
1013057501,569,LEXINGTON AVENUE,437662,70,B
1013060001,345,PARK AVENUE,1712218,51,D
1013060023,575,LEXINGTON AVENUE,624883,80,B
1013060042,154,EAST 52 STREET,304640,76,B
1013060050,140,EAST 52 STREET,26613,1,D
1013070014,600,LEXINGTON AVENUE,268106,78,B
1013070023,599,LEXINGTON AVENUE,984485,62,C
1013070029,155,EAST 52 STREET,66386,22,D
1013070043,154,EAST 53 STREET,38602,score missing,F
1013077502,100,EAST 53 STREET,319294,3,D
1013080033,880,3 AVENUE,140400,83,B
1013087501,601,LEXINGTON AVENUE,1835280,66,C
1013087502,399,PARK AVENUE,1526121,56,C
1013090008,125,EAST 54 STREET,56073,1,D
1013090023,641,LEXINGTON AVENUE,426775,57,C
1013090032,900,3 AVENUE,516710,87,A
1013090041,160,EAST 55 STREET,26000,22,D
1013090050,136,EAST 55 STREET,204269,53,D
1013090069,417,PARK AVENUE,89651,82,B
1013097502,135,EAST 54 STREET,154226,4,D
1013100012,127,EAST 55 STREET,140559,score missing,F
1013100022,661,LEXINGTON AVENUE,35408,79,B
1013100027,155,EAST 55 STREET,137136,15,D
1013100041,160,EAST 56 STREET,51923,77,B
1013100059,136,EAST 56 STREET,197972,6,D
1013100063,126,EAST 56 STREET,171591,71,B
1013107502,667,LEXINGTON AVENUE,170944,23,D
1013107503,150,EAST 56 STREET,70125,93,A
1013110001,445,PARK AVENUE,329507,58,C
1013110028,141,EAST 56 STREET,107485,85,A
1013110029,155,EAST 56 STREET,45836,64,C
1013110033,165,EAST 56 STREET,59400,59,C
1013110040,950,3 AVENUE,313200,50,D
1013110045,150,EAST 57 STREET,158063,18,D
1013110050,695,LEXINGTON AVENUE,85449,44,D
1013110052,687,LEXINGTON AVENUE,62210,score missing,F
1013110058,690,LEXINGTON AVENUE,111084,10,D
1013110065,110,EAST 57 STREET,155000,38,D
1013120015,135,EAST 57 STREET,397354,64,C
1013120023,703,LEXINGTON AVENUE,26280,30,D
1013120024,145,EAST 57 STREET,58458,65,C
1013120028,153,EAST 57 STREET,135841,65,C
1013120033,157,EAST 57 STREET,173168,50,D
1013120041,150,EAST 58 STREET,570453,73,B
1013120069,475,PARK AVENUE,122801,48,D
1013127501,117,EAST 57 STREET,534244,12,D
1013127502,465,PARK AVENUE,256034,95,A
1013130001,485,PARK AVENUE,82644,57,C
1013130004,499,PARK AVENUE,278921,61,C
1013130005,111,EAST 58 STREET,596734,70,B
1013130014,722,LEXINGTON AVENUE,144121,80,B
1013137501,151,EAST 58 STREET,1402032,65,C
1013137502,130,EAST 59 STREET,229547,71,B
1013140021,747,2 AVENUE,387761,25,D
1013147501,235,EAST 40 STREET,385721,46,D
1013147502,633,3 AVENUE,1013617,61,C
1013150001,655,3 AVENUE,380000,68,C
1013157501,220,EAST 42 STREET,1115243,73,B
1013160012,219,EAST 42 STREET,300000,69,C
1013160023,235,EAST 42 STREET,672462,46,D
1013160030,801,2 AVENUE,141408,67,C
1013170001,685,3 AVENUE,559755,78,B
1013170007,211,EAST 43 STREET,177000,77,B
1013170009,222,EAST 44 STREET,451001,60,C
1013170015,225,EAST 43 STREET,33616,3,D
1013170019,231,EAST 43 STREET,58634,score missing,F
1013170021,815,2 AVENUE,137784,78,B
1013170030,230,EAST 44 STREET,135315,58,C
1013180001,711,3 AVENUE,544150,76,B
1013180019,245,EAST 44 STREET,169828,39,D
1013180022,825,2 AVENUE,210810,7,D
1013180033,228,EAST 45 STREET,208052,80,B
1013180038,216,EAST 45 STREET,156626,46,D
1013187501,227,EAST 44 STREET,86176,score missing,F
1013187502,219,EAST 44 STREET,144730,10,D
1013190012,227,EAST 45 STREET,151617,67,C
1013190034,234,EAST 46 STREET,82829,64,C
1013190047,733,3 AVENUE,405399,63,C
1013197501,240,EAST 46 STREET,60900,69,C
1013197503,205,EAST 45 STREET,106438,76,B
1013200018,235,EAST 46 STREET,49914,34,D
1013200046,747,3 AVENUE,408153,35,D
1013207501,238,EAST 47 STREET,360110,37,D
1013207502,216,EAST 47 STREET,79200,74,B
1013207503,204,EAST 47 STREET,67498,49,D
1013207504,225,EAST 46 STREET,88745,100,A
1013207505,232,EAST 47 STREET,199738,42,D
1013207506,211,EAST 46 STREET,260540,30,D
1013210001,757,3 AVENUE,407767,82,B
1013210011,225,EAST 47 STREET,42000,score missing,F
1013210042,212,EAST 48 STREET,51576,56,C
1013210047,767,3 AVENUE,286212,41,D
1013220001,777,3 AVENUE,563420,46,D
1013227501,249,EAST 48 STREET,183000,37,D
1013227502,250,EAST 49 STREET,122349,35,D
1013230015,235,EAST 49 STREET,73800,61,C
1013230036,230,EAST 50 STREET,53694,66,C
1013230047,805,3 AVENUE,597553,78,B
1013237501,255,EAST 49 STREET,200679,38,D
1013240001,825,3 AVENUE,529169,score missing,F
1013240009,221,EAST 50 STREET,35840,43,D
1013240016,235,EAST 50 STREET,27522,68,C
1013240034,238,EAST 51 STREET,68500,48,D
1013240042,214,EAST 51 STREET,28458,69,C
1013250001,845,3 AVENUE,321452,60,C
1013250024,963,2 AVENUE,206945,57,C
1013250050,206,EAST 52 STREET,84420,43,D
1013257501,226,EAST 52 STREET,33810,11,D
1013257503,209,EAST 51 STREET,78303,65,C
1013260001,875,3 AVENUE,634175,74,B
1013267501,250,EAST 53 STREET,216621,28,D
1013270001,885,3 AVENUE,554180,48,D
1013270029,240,EAST 54 STREET,38000,18,D
1013270035,226,EAST 54 STREET,31105,19,D
1013270037,220,EAST 54 STREET,115020,52,D
1013277501,211,EAST 53 STREET,146549,62,C
1013277502,250,EAST 54 STREET,262473,15,D
1013280001,909,3 AVENUE,1321050,79,B
1013280021,245,EAST 54 STREET,406179,22,D
1013280030,238,EAST 55 STREET,68225,80,B
1013290001,919,3 AVENUE,1323432,59,C
1013290035,222,EAST 56 STREET,30635,65,C
1013297501,231,EAST 55 STREET,169438,36,D
1013300004,935,3 AVENUE,409332,51,D
1013300007,209,EAST 56 STREET,87100,43,D
1013300011,227,EAST 56 STREET,27240,11,D
1013300038,220,EAST 57 STREET,124060,56,C
1013307501,212,EAST 57 STREET,75623,18,D
1013310001,953,3 AVENUE,31987,score missing,F
1013310014,227,EAST 57 STREET,93153,79,B
1013310017,235,EAST 57 STREET,105749,5,D
1013310039,210,EAST 58 STREET,84000,26,D
1013317501,200,EAST 58 STREET,156476,36,D
1013317502,225,EAST 57 STREET,340837,35,D
1013317503,207,EAST 57 STREET,108651,7,D
1013320001,979,3 AVENUE,579779,64,C
1013320010,215,EAST 58 STREET,28000,85,A
1013320029,240,EAST 59 STREET,324212,27,D
1013320031,232,EAST 59 STREET,42176,72,B
1013320037,222,EAST 59 STREET,45000,80,B
1013330001,301,EAST 40 STREET,394086,37,D
1013330018,2,TUDOR CITY PLACE,336543,41,D
1013330023,1,TUDOR CITY PLACE,418312,70,B
1013330042,304,EAST 41 STREET,128798,58,C
1013340005,304,EAST 42 STREET,141758,14,D
